Country,City,University Name,Language of Study,Tuition,Award,School,Requirements
Argentina,Buenos Aires,University De Argentina,Spanish,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25
Argentina,Buenos Aires,Centre for Macroeconomic Study,"English,  Spanish",Program Fee: Service Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Australia,Brisbane,Torcuato di Tella University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (UTM),Minimum CGPA: 2.5
Australia,Crawley,Queensland University of Technology,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Australia,Adelaide,University of Western Australia,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5 (Undergraduates) or B (Graduates)
Australia,Brisbane,University of Adelaide,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Australia,Canberra,University of Queensland,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3 (Undergraduate) or B (Graduate)
Australia,Wollongong,Australian National University,English,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.7
Australia,Sydney,University of Wollongong,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Australia,Sydney,University of Sydney,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduate)
Australia,Melbourne,University of New South Wales,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Austria,Graz,University of Melbourne,"English,  German",Program Fees: University administrative fee,Funding: IE Awards and Funding from Host Institution,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Austria,Vienna,University of Graz,"English,  German",Program Fees: Service Fee,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25
Barbados,Bridgetown,University of Vienna,English,Program Fees: University fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
Belgium,Brussels,University of the West Indies,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Canada,Laval,Free University of Brussels,French,Program Fee: No Charge,Funding: IE Award and C.D. Howe Memorial Scholarship,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.7
Chile,Santiago,Laval University,Spanish,Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
China,Shanghai,University of Chile,"Chinese,  English",Program Fee: No Charge,Funding: IE Award and Chinese government's scholarship,All,Minimum CGPA: 3.0  (Undergraduates) or B (Graduates). Language Requirement: HSK 5 for courses in Chinese
China,Beijing,Shanghai Jiao Tong University,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 3 (Undergraduates) or B (Graduates)
China,Shanghai,Beihang University,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
China,Beijing,Fudan University,"Chinese,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3 (Undergraduates) or B (Graduates)
China,Beijing,Tsinghua University,"Chinese,  English",Program Fee: No Charge,Funding: IE Award and Chinese Government Scholarship,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates) for Guanghua School of Management.
Czechia,Brno,Peking University,"Czech,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.5 (Undergraduates) or B (Graduates)
Czechia,Prague,Masaryk University,"Czech,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,Arts and Science (St. George) School of Graduate Studies,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Denmark,Copenhagen,Charles University,"Danish,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,Rotman Commerce,Minimum CGPA: 2.25
Denmark,Copenhagen,Copenhagen Business School,"Danish,  English",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
UK (England),London,University of Copenhagen,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
UK (England),Liverpool,Queen Mary University of London,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (England),Exeter,University of Liverpool,English,Program Fee: No Charge,Funding: IE Award and Funding From Host Institution,Arts and Science (St. George) Arts and Science (UTM) Arts and Science (UTSC),Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (England),Egham,University of Exeter,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (England),London,Royal Holloway University of London,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 3.3 (Undergraduates) or B (Graduates), exchange only available after 2 years of study"
UK (England),Manchester,"University College, London",English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.7 or a B- average, and have completed at least two semesters of study at the time of application"
UK (England),London,University of Manchester,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.3 (undergraduate) or B (graduate)
UK (England),Lancaster,"King&#8217;s College, London",English,Program Fees: £15 college fees,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.7 for undergraduates or B for graduates
UK (England),Leeds,Lancaster University,English,Program Fee: No Charge,Funding: IE Award and British Universities Translantic Exchange Association (BUTEX),All,Minimum CGPA: 3.0 (Undergraduates) or B (Graduates)
UK (England),Coventry,University of Leeds,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 3.0
UK (England),Nottingham,University of Warwick,English,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.9 (Undergraduate and Graduate)
Estonia,Tartu,University of Nottingham,"English,  Estonian",Program Fee: No Charge,Funding: IE Award and funding from host institution (housing and stipend),All,Minimum GPA: 2.25 (Undergraduates) or B (Graduates)
Finland,Helsinki,University of Tartu,"English,  Finnish",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
France,Paris,University of Helsinki,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
France,Paris,Paris 3 &#8211; Sorbonne Nouvelle University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.25 (Undergraduates) or B (Graduates). Depending on the course selections, French language requirements B2 (undergraduate) and C1 (graduate) may be required."
France,Gif-sur-Yvette,Sciences Po,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,Applied Science and Engineering,Minimum CGPA: 2.25
France,Lyon,CentraleSupelec,French,Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (undergraduate) or B (graduate). Language Requirement: B1 level in French.
France,Paris,Lyon 2 &#8211; Lumiere University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,"Minimum CGPA: 2.25 (Undergraduates) or B (Graduates). Depends on the course selections, B2 level in French. The student must have completed 2 years prior they start their program."
France,Lyon,Paris 9 &#8211; Paris Dauphine University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
France,Paris,Lyon 3 &#8211; Jean Moulin University,"English,  French",Program Fee: No Charge,Funding: Institutional Excellence Award,All,
Germany,Heidelberg,Paris 1 &#8211; Pantheon Sorbonne University,"English,  German",Program Fee: No Charge,Funding: IE Award and Baden-Wuerttemberg Scholarship,All,"Minimum CGPA: 2.25 (undergraduate) or B (Graduates) Language Requirement: depending on the course selection, German DSH-2 may be required. Most of the courses are in Germany"
Germany,Stuttgart,Heidelberg University,"English,  German",Program Fees: Administrative Fees,"Funding: IE Award, Baden-Wuerttemberg Scholarship and Funding From Host Institution",All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Germany,Bonn,University of Stuttgart,"English,  German",Program Fees: University social fee,Funding: IE Award and DAAD,All,Minimum CGPA: 3.00 (Undergraduates) or B (Graduates).
Germany,Munich,University of Bonn,"English,  German",Program Fee: No Charge,Funding: IE Award and Funding From Host Institution,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates)
Germany,Freiburg im Breisgau,Ludwig Maximilian University of Munich,"English,  German",Program Fees: Administrative fees,Funding: IE Award and Baden-Wuerttemberg Scholarship,All,Minimum CGPA: 2.25 (Undergraduates) or B (Graduates).
